partner,course,skills,rating,reviewcount,level,certificatetype,duration,crediteligibility,skills_list
Google,Google Cybersecurity,"{"" Network Security"","" Python Programming"","" Linux"","" Cloud Computing"","" Algorithms"","" Audit"","" Computer Programming"","" Computer Security Incident Management"","" Cryptography"","" Databases"","" Leadership and Management"","" Network Architecture"","" Risk Management"","" SQL""}",4.8,16.4k,Beginner , Professional Certificate , 3 - 6 Months,False,"['cloud', 'network security', 'python', 'sql', 'linux', 'cloud computing', 'risk management', 'leadership', 'algorithms', 'network architecture', 'computer security', 'incident management', 'cryptography', 'python programming', 'computer programming', 'databases', 'audit', 'leadership and management']"
Google,Google Data Analytics,"{"" Data Analysis"","" R Programming"","" SQL"","" Business Communication"","" Spreadsheet Software"","" Business Analysis"","" Data Visualization"","" Data Management"","" General Statistics"","" Big Data"","" Communication"","" Computer Programming"","" Data Science"","" Data Visualization Software"","" Databases"","" Exploratory Data Analysis"","" Extract"","" Transform"","" Load"","" Leadership and Management"","" Microsoft Excel"","" Problem Solving"","" Small Data"","" Statistical Programming"","" Tableau Software""}",4.8,133.4k,Beginner , Professional Certificate , 3 - 6 Months,True,"['sql', 'tableau', 'data science', 'big data', 'data visualization', 'r programming', 'statistics', 'business analysis', 'leadership', 'communication', 'problem solving', 'excel', 'exploratory data analysis', 'data management', 'tableau software', 'small data', 'data analysis', 'computer programming', 'databases', 'business communication', 'spreadsheet software', 'leadership and management', 'general statistics', 'statistical programming', 'data visualization software']"
Google,Google Project Management:,"{"" Project Management"","" Strategy and Operations"","" Leadership and Management"","" Communication"","" Business Communication"","" Collaboration"","" Agile Software Development"","" Software Engineering"","" Entrepreneurship"","" Scrum (Software Development)"","" Planning"","" Supply Chain and Logistics"","" Change Management"","" Finance"","" Organizational Development"","" Product Management"","" Risk Management"","" Budget Management"","" Influencing"","" Culture"","" Emotional Intelligence"","" People Management"","" Problem Solving"","" Procurement""}",4.8,97.3k,Beginner , Professional Certificate , 3 - 6 Months,True,"['project management', 'agile', 'scrum', 'risk management', 'change management', 'strategy', 'finance', 'supply chain', 'leadership', 'communication', 'problem solving', 'emotional intelligence', 'product management', 'collaboration', 'software engineering', 'influencing', 'supply chain and logistics', 'entrepreneurship', 'organizational development', 'culture', 'planning', 'procurement', 'budget management', 'strategy and operations', 'agile software development', 'business communication', 'leadership and management', 'people management']"
Google,Google Digital Marketing & E-commerce,"{"" Digital Marketing"","" Marketing"","" Marketing Management"","" Media Strategy & Planning"","" Sales"","" E-Commerce"","" Data Analysis"","" Social Media"","" Search Engine Optimization"","" Advertising"","" Communication"","" Persona Research"","" Strategy"","" Web Design"","" Web Development"","" Web Development Tools"","" Writing"","" Data Management"","" Market Analysis""}",4.8,21.4k,Beginner , Professional Certificate , 3 - 6 Months,False,"['social media', 'strategy', 'marketing', 'communication', 'digital marketing', 'media strategy & planning', 'data management', 'search engine optimization', 'market analysis', 'planning', 'data analysis', 'web development tools', 'writing', 'web design', 'persona research', 'marketing management', 'sales', 'e-commerce', 'advertising', 'web development']"
Google,Google IT Support,"{"" Computer Networking"","" Network Architecture"","" Network Model"","" Networking Hardware"","" Network Analysis"","" Computer Architecture"","" Critical Thinking"","" Problem Solving"","" Communication"","" Human Computer Interaction"","" Network Security"","" Linux"","" System Security"","" Cloud Computing"","" Computer Programming"","" Customer Support"","" Cryptography"","" Leadership and Management"","" Operating Systems""}",4.8,181.4k,Beginner , Professional Certificate , 3 - 6 Months,True,"['cloud', 'network security', 'linux', 'cloud computing', 'leadership', 'communication', 'problem solving', 'critical thinking', 'networking', 'network architecture', 'networking hardware', 'computer networking', 'cryptography', 'customer support', 'computer architecture', 'human computer interaction', 'system security', 'computer programming', 'network analysis', 'operating systems', 'leadership and management', 'network model']"
IBM,IBM Data Science,"{"" Python Programming"","" Data Science"","" Machine Learning"","" Data Analysis"","" Data Visualization"","" Algorithms"","" Human Learning"","" Statistical Programming"","" Decision Making"","" Machine Learning Algorithms"","" Statistical Machine Learning"","" Statistical Visualization"","" Computational Thinking"","" Computer Programming"","" Data Management"","" Data Mining"","" Database Design"","" Exploratory Data Analysis"","" Plot (Graphics)"","" Applied Machine Learning"","" Customer Analysis"","" R Programming"","" Data Model"","" Database Application"","" Database Theory"","" Databases"","" Deep Learning"","" SQL"","" General Statistics"","" Probability & Statistics"","" Regression"","" Reinforcement Learning"","" Big Data"","" Cloud Computing"","" IBM Cloud"","" Writing""}",4.6,118.9k,Beginner , Professional Certificate , 3 - 6 Months,True,"['cloud', 'python', 'sql', 'cloud computing', 'ibm cloud', 'machine learning', 'deep learning', 'reinforcement learning', 'data science', 'big data', 'data mining', 'data visualization', 'r programming', 'statistics', 'algorithms', 'decision making', 'machine learning algorithms', 'database application', 'exploratory data analysis', 'database theory', 'python programming', 'data management', 'probability & statistics', 'regression', 'human learning', 'data analysis', 'computational thinking', 'writing', 'computer programming', 'databases', 'database design', 'data model', 'statistical machine learning', 'applied machine learning', 'statistical visualization', 'general statistics', 'customer analysis', 'statistical programming']"
Google,Google UX Design,"{"" User Experience"","" User Experience Design"","" User Research"","" Audit"","" Collaboration"","" Human Computer Interaction"","" Planning"","" Product Design"","" Product Development"","" Social Media"","" Web Design"","" Web Development Tools""}",4.8,73.7k,Beginner , Professional Certificate , 3 - 6 Months,True,"['social media', 'user research', 'collaboration', 'planning', 'human computer interaction', 'web development tools', 'product development', 'web design', 'audit', 'user experience design', 'user experience', 'product design', 'web development']"
IBM,IBM Data Analyst,"{"" Python Programming"","" Data Visualization"","" Microsoft Excel"","" Spreadsheet Software"","" Data Analysis"","" Statistical Visualization"","" Plot (Graphics)"","" Statistical Programming"","" Databases"","" SQL"","" Data Management"","" Exploratory Data Analysis"","" Machine Learning"","" Business Analysis"","" Computational Thinking"","" Computer Programming"","" Database Application"","" Database Design"","" Database Theory"","" Data Mining"","" Data Science"","" General Statistics"","" NoSQL"","" R Programming"","" Cloud Computing"","" Data Visualization Software"","" IBM Cloud"","" Interactive Data Visualization"","" Machine Learning Algorithms"","" Probability & Statistics"","" Regression""}",4.6,71.5k,Beginner , Professional Certificate , 3 - 6 Months,True,"['cloud', 'python', 'sql', 'nosql', 'cloud computing', 'ibm cloud', 'machine learning', 'data science', 'data mining', 'data visualization', 'r programming', 'statistics', 'business analysis', 'algorithms', 'excel', 'machine learning algorithms', 'database application', 'exploratory data analysis', 'database theory', 'python programming', 'data management', 'probability & statistics', 'regression', 'data analysis', 'computational thinking', 'computer programming', 'databases', 'database design', 'interactive data visualization', 'spreadsheet software', 'statistical visualization', 'general statistics', 'statistical programming', 'data visualization software']"
Multiple educators,Machine Learning,"{"" Machine Learning"","" Machine Learning Algorithms"","" Applied Machine Learning"","" Algorithms"","" Deep Learning"","" Machine Learning Software"","" Artificial Neural Networks"","" Human Learning"","" Statistical Machine Learning"","" Python Programming"","" Regression"","" Mathematics"","" Tensorflow"","" Critical Thinking"","" Network Model"","" Reinforcement Learning""}",4.9,17.7k,Beginner , Specialization , 1 - 3 Months,False,"['python', 'machine learning', 'deep learning', 'neural networks', 'reinforcement learning', 'critical thinking', 'algorithms', 'machine learning algorithms', 'python programming', 'tensorflow', 'artificial neural networks', 'regression', 'human learning', 'mathematics', 'machine learning software', 'statistical machine learning', 'applied machine learning', 'network model']"
IBM,Introduction to Data Science,"{"" Data Science"","" Python Programming"","" Data Analysis"","" Data Management"","" R Programming"","" Computational Thinking"","" Computer Programming"","" Data Mining"","" Database Application"","" Database Design"","" Database Theory"","" Databases"","" SQL"","" Data Model"","" Machine Learning"","" Statistical Machine Learning"","" Big Data"","" Cloud Computing"","" Deep Learning"","" IBM Cloud"","" Regression"","" Writing""}",4.6,85k,Beginner , Specialization , 3 - 6 Months,True,"['cloud', 'python', 'sql', 'cloud computing', 'ibm cloud', 'machine learning', 'deep learning', 'data science', 'big data', 'data mining', 'r programming', 'database application', 'database theory', 'python programming', 'data management', 'regression', 'data analysis', 'computational thinking', 'writing', 'computer programming', 'databases', 'database design', 'data model', 'statistical machine learning']"
